"id","subdivisionId","name"
"1","5","Saint Julia de Loria"
"2","6","Andorra la Vieja"
"3","6","Andorre-la-Vieille"
"4","7","Les Escaldes"
"5","8","Ujman"
"6","9","Abu Dhabi"
"7","9","Abu Dhabi"
"8","9","Abū Z̨abī"
"9","9","Abu Zabi"
"10","9","Abu Zaby"
"11","15","Balkh"
"12","16","Bāmīān"
"13","16","Bamian"
"14","16","Bamiyan"
"15","17","Bādghīs"
"16","17","Badghis"
"17","17","Badgis"
"18","18","Badaẖšan"
"19","19","Baghlan"
"20","19","Baghlān"
"21","19","Baglan"
"22","20","Daikondi"
"23","21","Fahrah"
"24","22","Fariab"
"25","23","Gazni"
"26","23","Ghazni"
"27","24","Ghawr"
"28","24","Ghor"
"29","24","Ghowr"
"30","24","Gōr"
"31","25","Helmand"
"32","25","Hilmend"
"33","26","Herat"
"34","27","Jawzjan"
"35","27","Jowzjān"
"36","27","Jowzjan"
"37","27","Jozjan"
"38","27","Juzjan"
"39","28","Kābol"
"40","28","Kabol"
"41","28","Kabul"
"42","28","Kābul"
"43","29","Kandahar"
"44","30","Kapesa"
"45","30","Kapisa"
"46","30","Kapissa"
"47","31","Kondoz"
"48","31","Kondūz"
"49","31","Kūnduz"
"50","31","Qondūz"
"51","32","H̱awst"
"52","32","H̱ōst"
"53","32","Khawst"
"54","32","Khost"
"55","32","Matūn"
"56","32","Matun"
"57","33","Konar"
"58","33","Konarhā"
"59","34","Laghmān"
"60","34","Laghman"
"61","34","Lagman"
"62","35","Lawgar"
"63","35","Logar"
"64","35","Loghar"
"65","35","Lowgar"
"66","35","Lowghar"
"67","36","Nangarhar"
"68","36","Ningarhar"
"69","37","Chakhānsur"
"70","37","Neemroze"
"71","37","Nimroz"
"72","37","Nimroze"
"73","38","Nooristan"
"74","38","Nouristan"
"75","38","Nurestan"
"76","39","Panjshir"
"77","40","Parvān"
"78","40","Parvan"
"79","40","Parwan"
"80","41","Paktīā"
"81","41","Paktia"
"82","41","Paktiya"
"83","42","Paktika"
"84","44","Sar-e Pol"
"85","44","Sar-i Pol"
"86","44","Sari Pol"
"87","45","Tahar"
"88","45","Takhār"
"89","45","Takhar"
"90","46","Oruzgan"
"91","46","Orūzghān"
"92","46","Oruzghan"
"93","46","Uruzgan"
"94","46","Urūzghān"
"95","46","Uruzghan"
"96","47","Vardak"
"97","47","Wardagh"
"98","47","Wardak"
"99","48","Zābol"
"100","48","Zabol"
"101","48","Zabul"
"102","71","Dibër"
"103","74","Devoli"
"104","91","Malesia e Madhe"
"105","103","Tirana"
"106","103","Tirana"
"107","103","Tiranë"
"108","109","Gegharkunick"
"109","110","Kotaik"
"110","111","Lorri"
"111","114","Tavoush"
"112","119","Kabinda"
"113","120","Cuando-Cubango"
"114","122","Cuanza-Norte"
"115","123","Cuanza-Sul"
"116","129","Malange"
"117","144","Pampa"
"118","159","Carinthia"
"119","159","Koroška"
"120","160","Lower Austria"
"121","161","Upper Austria"
"122","162","Salzbourg"
"123","163","Styria"
"124","164","Tyrol"
"125","277","Bandarban"
"126","279","Bogora"
"127","279","Bogra"
